"","exit","open.x","high.x","low.x","close.x","volume.x","spotPrice.x","return.x","logReturn.x","Date.x","pred.x","index","side.x","open.y","high.y","low.y","close.y","volume.y","spotPrice.y","return.y","logReturn.y","Date.y","pred.y","exit.y","side.y"
"21",128,1.92,1.92,1.89,1.91,126154,1.91,-0.0108751941998965,-0.0109347613878389,2019-06-27,0.0152648321771728,124,"buy",1.8752,1.9258,1.8623,1.9167,80579,1.9167,0.0248088541945142,0.0245061114874528,2019-07-03,-0.00268014995975813,0,"sell"
"22",137,2.014,2.0378,1.9843,1.9895,99825,1.9895,-0.00782964292838606,-0.00786045552236487,2019-07-11,0.0120398042026109,133,"buy",1.8909,1.9208,1.8709,1.8787,68260,1.8787,-0.00692462205307109,-0.0069487085058168,2019-07-17,0.00270083624358032,0,"sell"
"23",140,1.9245,1.949,1.8781,1.8918,73123,1.8918,-0.0199450862560223,-0.0201466744547593,2019-07-16,0.010536718889262,136,"buy",1.81,1.82,1.79,1.79,64942,1.79,-0.00289661319073076,-0.00290081649357642,2019-07-22,-0.0155414686013066,0,"sell"
"24",143,1.801,1.8182,1.7782,1.7952,64942,1.7952,-0.0212626758259733,-0.0214919827964668,2019-07-19,-0.0120710981133001,139,"sell",1.81,1.83,1.8,1.83,84245,1.83,0.0142437510391842,0.0141432619212139,2019-07-25,0.000500055764280239,0,"buy"
"25",144,1.81,1.82,1.79,1.79,64942,1.79,-0.00289661319073076,-0.00290081649357642,2019-07-22,-0.0155414686013066,140,"sell",1.8246,1.835,1.8063,1.8224,78618,1.8224,-0.00415300546448094,-0.004161653142549,2019-07-26,0.00597734826417942,0,"buy"
"26",145,1.79,1.82,1.78,1.81,64734,1.81,0.011173184357542,0.0111112254250708,2019-07-23,-0.0103671546161466,141,"sell",1.83,1.83,1.8,1.82,78618,1.82,-0.00131694468832311,-0.00131781262207668,2019-07-29,0.00479401116416286,0,"buy"
"27",156,1.6809,1.6876,1.6111,1.6203,90678,1.6203,-0.0397084098856161,-0.0405183009373367,2019-08-07,-0.0243438061979715,152,"sell",1.6636,1.7456,1.6522,1.7364,71995,1.7364,0.0427576267115062,0.0418687681046182,2019-08-13,-0.00743993257729493,0,"buy"
"28",157,1.644,1.6579,1.6359,1.6457,90678,1.6457,0.0156761093624636,0.0155545083343818,2019-08-08,-0.0252371100431405,153,"sell",1.7245,1.7284,1.6507,1.6758,73080,1.6758,-0.0348997926744989,-0.0355233412462524,2019-08-14,0.00510864678344421,0,"buy"
"29",158,1.6505,1.6895,1.6417,1.674,69070,1.674,0.0171963298292519,0.0170501464480834,2019-08-09,-0.0126654179165222,154,"sell",1.6641,1.6741,1.6303,1.6364,73080,1.6364,-0.0235111588495046,-0.0237919561239425,2019-08-15,0.0155758070915005,0,"buy"
"30",159,1.6663,1.6785,1.6514,1.6652,69070,1.6652,-0.00525686977299877,-0.00527073572860022,2019-08-12,-0.0119912125819418,155,"sell",1.6392,1.666,1.6369,1.6568,63503,1.6568,0.0124663896357859,0.012389324026131,2019-08-16,0.00381551132969182,0,"buy"
"31",162,1.6641,1.6741,1.6303,1.6364,73080,1.6364,-0.0235111588495046,-0.0237919561239425,2019-08-15,0.0155758070915005,158,"buy",1.5488,1.5834,1.5486,1.5639,66153,1.5639,0.0101408086810491,0.010089735671557,2019-08-21,-0.00708993669801269,0,"sell"
"32",180,1.6016,1.6208,1.5645,1.5699,83345,1.5699,-0.0131380437515715,-0.0132251112872637,2019-09-11,0.014811188488619,176,"buy",1.7122,1.7496,1.6267,1.6488,118585,1.6488,-0.0469915033813074,-0.0481314597132273,2019-09-17,0.00860792978177682,0,"sell"
"33",185,1.64,1.66,1.61,1.63,118585,1.63,-0.0114022319262495,-0.0114677357754413,2019-09-18,0.0130754756620194,181,"buy",1.6559,1.6576,1.6051,1.6264,66123,1.6264,-0.0202409638554216,-0.020448619036452,2019-09-24,-0.0149372302896665,0,"sell"
"34",187,1.67,1.68,1.64,1.65,82408,1.65,-0.00787685647285197,-0.007908042781468,2019-09-20,0.0260707114099643,183,"buy",1.6046,1.6267,1.5877,1.6221,79522,1.6221,0.0136857892763405,0.0135929846400453,2019-09-26,-0.00329989784317369,0,"sell"
